■  조회 - 옵션,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
상품/지수옵션 종목 리스트,,,,,,,
GET /v3/market/closed/derivative/options/{marketcode}/lists,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,모드,길이,설명
1,trdDd,,,"체결일자,거래일자,매매일자",string,8,YYYYMMDD
1,isuLists,,,종목리스트,Array,4, 
2,,isuCd,,종목코드,string,12,표준코드
3,,isuSrtCd,,종목단축코드,string,9,에) KR4201KC1756 → 201KC175
4,,isuKorNm,,종목한글명,string,80, 
5,,isuKorAbbrv,,종목한글약명,string,40,가나다
,,,,,,,
,,,,,,,
상품/지수옵션 종목 마스터,,,,,,,
GET /v3/market/closed/derivative/options/{marketcode}/{issucode}/master,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,모드,길이,설명
1,trdDd,,,"체결일자,거래일자,매매일자",string,8,YYYYMMDD
1,isuCd,,,종목코드,string,12,표준코드
2,isuSrtCd,,,종목단축코드,string,9,에) KR4201KC1756 → 201KC175
3,isuKorNm,,,종목한글명,string,80, 
4,isuKorAbbrv,,,종목한글약명,string,40,가나다
5,listDd,,,상장일자,string,8,YYYYMMDD
6,prcLmtStep1Uplmtprc,,,가격제한1단계상한가,number,12,
7,prcLmtStep1Lwlmtprc,,,가격제한1단계하한가,number,12,
8,prcLmtStep2Uplmtprc,,,가격제한2단계상한가,number,12,
9,prcLmtStep2Lwlmtprc,,,가격제한2단계하한가,number,12,
10,prcLmtStep3Uplmtprc,,,가격제한3단계상한가,number,12,
11,prcLmtStep3Lwlmtprc,,,가격제한3단계하한가,number,12,
12,basPrc,,,"기준가격,기준가액",number,11,
13,ulyId,,,기초자산명,string,3,기초자산명
14,lsttrdDd,,,최종거래일자,nuber,8, 
15,expDd,,,만기년월,string,8,권리행사 가능한 만기년월
16,업종,,,행사가격,number,18, 
17,setlmult,,,거래승수,number,22, 약정대금 및 결제시 사용하는 계산승수
18,remainDys,,,잔존일수,number,8, 
19,setlTheoPrc,,,정산이론가격,number,16, 
20,basTheoPrc,,,기준이론가격,number,16, 
21,prevddClsprc,,,전일종가,number,11, 
22,prevddOpnprc,,,전일시가,number,11, 
23,prevddHgprc,,,전일고가,number,11, 
24,prevddLwprc,,,전일저가,number,11, 
25,setlPrcTheoPrcDivrgRt,,,정산가격이론가격괴리율,number,13, 
26,prevddOpnintQty,,,전일미결제약정수량,number,12, 
27,impVolt,,,내재변동성,number,11, 
28,inlistHgstprc,,,상장중최고가,number,11, 
29,inlistLwstprc,,,상장중최저가,number,11, 
30,midyyHgstprc,,,연중최고가,number,11, 
31,midyyLwstprc,,,상장중최저가일자,number,11, 
32,inlistHgstprcDd,,,상장중최고가일자,string,8, 
33,inlistLwstprcDd,,,상장중최저가일자,string,8, 
34,midyyHgstprcDd,,,연중최고가일자,string,8, 
35,midyyLwstprcDd,,,연중최저가일자,string,8, 
36,prevddAccTrdvol ,,,"전일체결수량,전일거래량",number,15, 
